UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
029205000516,02920500051,5810,,ALESSI,ALESSI OIL OLIVE XVRGN IMPORT,17.00,OZ,6,66.300,15.79,Specialty Groce,OILS,OLIVE OILS,OILS & VINEGARS,SPECIALTY GROCERY,100,ACTIVE,0000011,7.25,7.750,12.240
071072000922,07107200092,5815,,VIGO,VIGO OIL OLIVE PURE,17.00,OZ,8,67.840,12.19,Specialty Groce,OILS,OLIVE OILS,OILS & VINEGARS,SPECIALTY GROCERY,100,ACTIVE,0000005,11.00,8.000,12.750
059290573220,05929057322,5819,,CARRS,CARRS CRACKER WTR TABLE ORGNL,4.250,OZ,12,53.160,6.39,Specialty Groce,CRACKERS CRISPB,CLASSIC & DELI CRACK,CRACKERS & CRISPBREADS,SPECIALTY GROCERY,100,ACTIVE,0000009,8.98,7.720,4.200
059290574616,05929057461,5821,,CARRS,CARRS CRACKER COLLECTION,7.050,OZ,12,70.200,8.39,Specialty Groce,CRACKERS CRISPB,CLASSIC & DELI CRACK,CRACKERS & CRISPBREADS,SPECIALTY GROCERY,100,ACTIVE,0000012,9.00,10.500,7.000
023769104321,02376910432,5845,,DRAKES,DRAKES MIX FRY CRISPY,5.000,LB,10,87.700,12.59,Specialty Groce,SPICES SEASONIN,FISH FRY COATINGS,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000021,12.75,10.000,53.000
853522000313,85352200031,5860,,ENJOY LIFE,ENJOY LIFE CHOC CHUNK SEMI SWT MEGA,10.00,OZ,12,61.320,7.39,Natural Grocery,BAKING INGREDIE,CHOC MLTNG CHP CHNK,BAKING INGREDIENTS SUPPLIES,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000012,8.13,5.130,7.500
039047001404,03904700140,5867,,WALKERS,WALKERS SHORTBREAD RND,5.300,OZ,12,42.840,5.19,Specialty Groce,COOKIES DESSERT,PACKAGED COOKIES,COOKIES,SPECIALTY GROCERY,100,ACTIVE,0000010,10.00,7.000,5.400
620133104026,62013310402,5903,,KINNIKINNICK,KINNIKINNICK MIX CAKE CHOC,17.60,OZ,6,21.720,5.19,Natural Grocery,BAKING INGREDIE,BAKING MIX - CAKE,BAKING INGREDIENTS SUPPLIES,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000011,8.00,6.000,7.680
620133104040,62013310404,5968,,KINNIKINNICK,KINNIKINNICK MIX CAKE WHITE,17.60,OZ,6,21.720,5.19,Natural Grocery,BAKING INGREDIE,BAKING MIX - CAKE,BAKING INGREDIENTS SUPPLIES,NATURAL GROCERY,100,ACTIVE,0000011,6.00,8.000,7.680
072463000200,07246300020,6083,,MCCANN,MCCANN OATMEAL IRISH CAN,28.00,OZ,12,74.640,8.89,Natural Grocery,HOT CEREAL,HOT CEREAL NON INSTA,HOT CEREAL,NATURAL GROCERY,100,ACTIVE,0000018,13.50,5.750,25.090
070844004694,07084400469,6087,,KA ME,KA ME NOODLE QUICK CHINESE,8.000,OZ,6,15.720,3.79,Specialty Groce,SS PASTA,MAINSTREAM,SS PASTA,SPECIALTY GROCERY,100,ACTIVE,0000028,17.00,13.750,46.000
070844004533,07084400453,6088,,KA ME,KA ME NOODLE RICE STICK,8.000,OZ,8,24.320,4.39,Specialty Groce,SS PASTA,MAINSTREAM,SS PASTA,SPECIALTY GROCERY,100,ACTIVE,0000011,9.00,11.000,41.760
013000001779,01300000177,6105,,HEINZ,HEINZ VINEGAR TARRAGON,12.00,OZ,6,21.240,5.09,Specialty Groce,VINEGAR COOKING,VINEGARS NON BALSAMI,VINEGAR COOKING WINES,SPECIALTY GROCERY,100,ACTIVE,0000010,8.10,8.700,15.600
013000001755,01300000175,6106,,HEINZ,HEINZ VINEGAR RED WINE,12.00,OZ,6,21.240,5.09,Specialty Groce,VINEGAR COOKING,VINEGARS NON BALSAMI,VINEGAR COOKING WINES,SPECIALTY GROCERY,100,ACTIVE,0000010,8.20,8.500,16.670
013000001793,01300000179,6107,,HEINZ,HEINZ VINEGAR MALT DECANTER,12.00,OZ,6,21.240,5.09,Specialty Groce,VINEGAR COOKING,VINEGARS NON BALSAMI,VINEGAR COOKING WINES,SPECIALTY GROCERY,100,ACTIVE,0000010,8.20,8.700,17.150
070670002864,07067000286,6191,,REESE,REESE VINEGAR TARRAGON SPRIG,12.70,OZ,6,17.640,4.29,Specialty Groce,VINEGAR COOKING,VINEGARS NON BALSAMI,VINEGAR COOKING WINES,SPECIALTY GROCERY,100,ACTIVE,0000009,7.50,8.500,9.840
070670002833,07067000283,6193,,REESE,REESE VINEGAR WHT WINE,12.70,OZ,6,17.520,4.19,Specialty Groce,VINEGAR COOKING,VINEGARS NON BALSAMI,VINEGAR COOKING WINES,SPECIALTY GROCERY,100,ACTIVE,0000010,7.50,9.750,7.680
088702015591,08870201559,6261,,BONNE MAMAN,BONNE MAMAN PRESERVE CHERRY,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.000,7.870
088702015607,08870201560,6263,,BONNE MAMAN,BONNE MAMAN PRESERVE STRWBRY,13.00,OZ,6,30.300,7.29,Natural Grocery,FRUIT SPREADS,FRUIT SPREAD SWEETEN,JAMS JELLIES PRESERVES,NATURAL GROCERY,100,ACTIVE,0000010,7.20,4.500,7.870
